8 3 4
9 5 1
9 6 4
10 0 3
10 2 1
13 5 4
13 6 2
13 9 1
14 0 3
14 3 2
15 0 4
16 14 4
17 1 4
17 6 2
17 9 5
17 13 5
18 15 2
19 1 3
19 7 1
20 8 1
20 16 2
20 18 1
21 18 5
22 17 3
24 14 2
24 15 1
24 18 2
25 17 2
26 1 2
26 25 4
27 1 4
27 7 3
27 17 5
27 25 3
27 26 3
28 1 3
28 8 2
28 20 1
29 10 3
29 18 2
29 21 3
29 24 4
30 7 4
30 19 5
30 28 4
31 17 1
32 9 4
32 13 5
33 12 3
33 14 2
33 16 1
33 21 2
34 14 1
34 33 3
35 29 1
36 1 5
36 20 1
36 23 3
37 8 3
37 14 1
37 16 4
37 21 5
37 33 3
37 34 2
37 36 3
38 14 3
38 16 1
38 20 2
38 33 3
39 36 5
40 0 4
40 7 4
40 14 5
40 15 5
40 33 5
40 36 3
40 37 5
41 1 2
41 9 5
41 13 3
42 0 5
42 2 1
42 10 5
42 30 1
43 14 3
43 29 1
43 33 1
43 37 3
43 38 4
44 2 4
44 20 1
44 34 4
44 38 1
45 8 4
45 15 1
45 18 3
45 21 5
45 23 3
45 24 4
45 29 4
45 37 2
46 43 2
47 0 5
47 10 3
47 20 3
47 28 4
47 30 4
47 42 5
49 34 2
49 46 2
50 14 2
50 16 4
50 20 1
50 33 3
50 42 3
50 45 4
51 4 5
51 11 3
51 18 1
51 21 2
51 23 3
51 24 1
51 29 3
51 45 5
51 50 3
52 14 5
52 29 2
52 38 3
52 40 5
53 43 4
54 1 2
54 6 2
54 7 2
54 13 1
54 19 5
54 41 3
55 15 5
55 51 3
56 5 3
56 6 3
57 5 1
57 6 4
57 9 1
57 13 4
57 17 1
57 39 1
57 41 5
57 48 5
57 54 3
58 38 3
59 3 3
59 8 5
59 15 5
59 36 1
59 45 2
60 32 5
61 2 3
61 37 4
61 53 5
